,date,DJIA
285,2011-02-18,12391.25
286,2011-02-22,12212.79
287,2011-02-23,12105.78
288,2011-02-24,12068.5
289,2011-02-25,12130.45
290,2011-02-28,12226.34
291,2011-03-01,12058.02
292,2011-03-02,12066.8
293,2011-03-03,12258.2
294,2011-03-04,12169.88
295,2011-03-07,12090.03
296,2011-03-08,12214.38
297,2011-03-09,12213.09
298,2011-03-10,11984.61
299,2011-03-11,12044.4
300,2011-03-14,11993.16
301,2011-03-15,11855.42
302,2011-03-16,11613.3
303,2011-03-17,11774.59
304,2011-03-18,11858.52
305,2011-03-21,12036.53
306,2011-03-22,12018.63
307,2011-03-23,12086.02
308,2011-03-24,12170.56
309,2011-03-25,12220.59
310,2011-03-28,12197.88
311,2011-03-29,12279.01
312,2011-03-30,12350.61
313,2011-03-31,12319.73
314,2011-04-01,12376.72
315,2011-04-04,12400.03
316,2011-04-05,12393.9
317,2011-04-06,12426.75
318,2011-04-07,12409.49
319,2011-04-08,12380.05
320,2011-04-11,12381.11
321,2011-04-12,12263.58
322,2011-04-13,12270.99
323,2011-04-14,12285.15
324,2011-04-15,12341.83
325,2011-04-18,12201.59
326,2011-04-19,12266.75
327,2011-04-20,12453.54
328,2011-04-21,12505.99
329,2011-04-25,12479.88
330,2011-04-26,12595.37
331,2011-04-27,12690.96
332,2011-04-28,12763.31
333,2011-04-29,12810.54
334,2011-05-02,12807.36
335,2011-05-03,12807.51
336,2011-05-04,12723.58
337,2011-05-05,12584.17
338,2011-05-06,12638.74
339,2011-05-09,12684.68
340,2011-05-10,12760.36
341,2011-05-11,12630.03
342,2011-05-12,12695.92
343,2011-05-13,12595.75
344,2011-05-16,12548.37
345,2011-05-17,12479.58
346,2011-05-18,12560.18
347,2011-05-19,12605.32
348,2011-05-20,12512.04
349,2011-05-23,12381.26
350,2011-05-24,12356.21
351,2011-05-25,12394.66
352,2011-05-26,12402.76
353,2011-05-27,12441.58
354,2011-05-31,12569.79
355,2011-06-01,12290.14
356,2011-06-02,12248.55
357,2011-06-03,12151.26
358,2011-06-06,12089.96
359,2011-06-07,12070.81
360,2011-06-08,12048.94
361,2011-06-09,12124.36
362,2011-06-10,11951.91
363,2011-06-13,11952.97
364,2011-06-14,12076.11
365,2011-06-15,11897.27
366,2011-06-16,11961.52
367,2011-06-17,12004.36
368,2011-06-20,12080.38
369,2011-06-21,12190.01
370,2011-06-22,12109.67
371,2011-06-23,12050.0
372,2011-06-24,11934.58
373,2011-06-27,12043.56
374,2011-06-28,12188.69
375,2011-06-29,12261.42
376,2011-06-30,12414.34
377,2011-07-01,12582.77
378,2011-07-05,12569.87
379,2011-07-06,12626.02
380,2011-07-07,12719.49
381,2011-07-08,12657.2
382,2011-07-11,12505.76
383,2011-07-12,12446.88
384,2011-07-13,12491.61
385,2011-07-14,12437.12
386,2011-07-15,12479.73
387,2011-07-18,12385.16
388,2011-07-19,12587.42
389,2011-07-20,12571.91
390,2011-07-21,12724.41
391,2011-07-22,12681.16
392,2011-07-25,12592.8
393,2011-07-26,12501.3
394,2011-07-27,12302.55
395,2011-07-28,12240.11
396,2011-07-29,12143.24
397,2011-08-01,12132.49
398,2011-08-02,11866.62
399,2011-08-03,11896.44
400,2011-08-04,11383.68
401,2011-08-05,11444.61
402,2011-08-08,10809.85
403,2011-08-09,11239.77
404,2011-08-10,10719.94
405,2011-08-11,11143.31
406,2011-08-12,11269.02
407,2011-08-15,11482.9
408,2011-08-16,11405.93
409,2011-08-17,11410.21
410,2011-08-18,10990.58
411,2011-08-19,10817.65
412,2011-08-22,10854.65
413,2011-08-23,11176.76
414,2011-08-24,11320.71
415,2011-08-25,11149.82
416,2011-08-26,11284.54
417,2011-08-29,11539.25
418,2011-08-30,11559.95
419,2011-08-31,11613.53
420,2011-09-01,11493.57
421,2011-09-02,11240.26
422,2011-09-06,11139.3
423,2011-09-07,11414.86
424,2011-09-08,11295.81
425,2011-09-09,10992.13
426,2011-09-12,11061.12
427,2011-09-13,11105.85
428,2011-09-14,11246.73
429,2011-09-15,11433.18
430,2011-09-16,11509.09
431,2011-09-19,11401.01
432,2011-09-20,11408.66
433,2011-09-21,11124.84
434,2011-09-22,10733.83
435,2011-09-23,10771.48
436,2011-09-26,11043.86
437,2011-09-27,11190.69
438,2011-09-28,11010.9
439,2011-09-29,11153.98
440,2011-09-30,10913.38
441,2011-10-03,10655.3
442,2011-10-04,10808.71
443,2011-10-05,10939.95
444,2011-10-06,11123.33
445,2011-10-07,11103.12
446,2011-10-10,11433.18
447,2011-10-11,11416.3
448,2011-10-12,11518.85
449,2011-10-13,11478.13
450,2011-10-14,11644.49
451,2011-10-17,11397.0
452,2011-10-18,11577.05
453,2011-10-19,11504.62
454,2011-10-20,11541.78
455,2011-10-21,11808.79
456,2011-10-24,11913.62
457,2011-10-25,11706.62
458,2011-10-26,11869.04
459,2011-10-27,12208.55
460,2011-10-28,12231.11
461,2011-10-31,11955.01
462,2011-11-01,11657.96
463,2011-11-02,11836.04
464,2011-11-03,12044.47
465,2011-11-04,11983.24
466,2011-11-07,12068.39
467,2011-11-08,12170.18
468,2011-11-09,11780.94
469,2011-11-10,11893.79
470,2011-11-11,12153.68
471,2011-11-14,12078.98
472,2011-11-15,12096.16
473,2011-11-16,11905.59
474,2011-11-17,11770.73
475,2011-11-18,11796.16
476,2011-11-21,11547.31
477,2011-11-22,11493.72
478,2011-11-23,11257.55
479,2011-11-25,11231.78
480,2011-11-28,11523.01
481,2011-11-29,11555.63
482,2011-11-30,12045.68
483,2011-12-01,12020.03
484,2011-12-02,12019.42
485,2011-12-05,12097.83
486,2011-12-06,12150.13
487,2011-12-07,12196.37
488,2011-12-08,11997.7
489,2011-12-09,12184.26
490,2011-12-12,12021.39
491,2011-12-13,11954.94
492,2011-12-14,11823.48
493,2011-12-15,11868.81
494,2011-12-16,11866.39
495,2011-12-19,11766.26
496,2011-12-20,12103.58
497,2011-12-21,12107.74
498,2011-12-22,12169.65
499,2011-12-23,12294.0
500,2011-12-27,12291.35
501,2011-12-28,12151.41
502,2011-12-29,12287.04
503,2011-12-30,12217.56
504,2012-01-03,12397.38
505,2012-01-04,12418.42
506,2012-01-05,12415.7
507,2012-01-06,12359.92
508,2012-01-09,12392.69
509,2012-01-10,12462.47
510,2012-01-11,12449.45
511,2012-01-12,12471.02
512,2012-01-13,12422.06
513,2012-01-17,12482.07
514,2012-01-18,12578.95
515,2012-01-19,12623.98
516,2012-01-20,12720.48
517,2012-01-23,12708.82
518,2012-01-24,12675.75
519,2012-01-25,12756.96
520,2012-01-26,12734.63
521,2012-01-27,12660.46
522,2012-01-30,12653.72
523,2012-01-31,12632.91
524,2012-02-01,12716.46
525,2012-02-02,12705.41
526,2012-02-03,12862.23
527,2012-02-06,12845.13
528,2012-02-07,12878.2
529,2012-02-08,12883.95
530,2012-02-09,12890.46
531,2012-02-10,12801.23
532,2012-02-13,12874.04
533,2012-02-14,12878.28
534,2012-02-15,12780.95
535,2012-02-16,12904.08
536,2012-02-17,12949.87
537,2012-02-21,12965.69
