,Date,Close
253,2014-09-12,575.62
254,2014-09-13,
255,2014-09-14,
256,2014-09-15,573.1
257,2014-09-16,579.95
258,2014-09-17,584.77
259,2014-09-18,589.27
260,2014-09-19,596.08
261,2014-09-20,
262,2014-09-21,
263,2014-09-22,587.37
264,2014-09-23,581.13
265,2014-09-24,587.99
266,2014-09-25,575.06
267,2014-09-26,577.1
268,2014-09-27,
269,2014-09-28,
270,2014-09-29,576.36
271,2014-09-30,577.36
272,2014-10-01,568.27
273,2014-10-02,570.08
274,2014-10-03,575.28
275,2014-10-04,
276,2014-10-05,
277,2014-10-06,577.35
278,2014-10-07,563.74
279,2014-10-08,572.5
280,2014-10-09,560.88
281,2014-10-10,544.49
282,2014-10-11,
283,2014-10-12,
284,2014-10-13,533.21
285,2014-10-14,537.94
286,2014-10-15,530.03
287,2014-10-16,524.51
288,2014-10-17,511.17
289,2014-10-18,
290,2014-10-19,
291,2014-10-20,520.84
292,2014-10-21,526.54
293,2014-10-22,532.71
294,2014-10-23,543.98
295,2014-10-24,539.78
296,2014-10-25,
297,2014-10-26,
298,2014-10-27,540.77
299,2014-10-28,548.9
300,2014-10-29,549.33
301,2014-10-30,550.31
302,2014-10-31,559.08
303,2014-11-01,
304,2014-11-02,
305,2014-11-03,555.22
306,2014-11-04,554.11
307,2014-11-05,545.92
308,2014-11-06,542.04
309,2014-11-07,541.01
310,2014-11-08,
311,2014-11-09,
312,2014-11-10,547.49
313,2014-11-11,550.29
314,2014-11-12,547.31
315,2014-11-13,545.38
316,2014-11-14,544.4
317,2014-11-15,
318,2014-11-16,
319,2014-11-17,536.51
320,2014-11-18,535.03
321,2014-11-19,536.99
322,2014-11-20,534.83
323,2014-11-21,537.5
324,2014-11-22,
325,2014-11-23,
326,2014-11-24,539.27
327,2014-11-25,541.08
328,2014-11-26,540.37
329,2014-11-27,
330,2014-11-28,541.83
331,2014-11-29,
332,2014-11-30,
333,2014-12-01,533.8
334,2014-12-02,533.75
335,2014-12-03,531.32
336,2014-12-04,537.31
337,2014-12-05,525.26
338,2014-12-06,
339,2014-12-07,
340,2014-12-08,526.98
341,2014-12-09,533.37
342,2014-12-10,526.06
343,2014-12-11,528.34
344,2014-12-12,518.66
345,2014-12-13,
346,2014-12-14,
347,2014-12-15,513.8
348,2014-12-16,495.39
349,2014-12-17,504.89
350,2014-12-18,511.1
351,2014-12-19,516.35
352,2014-12-20,
353,2014-12-21,
354,2014-12-22,524.87
355,2014-12-23,530.59
356,2014-12-24,528.77
357,2014-12-25,
358,2014-12-26,534.03
359,2014-12-27,
360,2014-12-28,
361,2014-12-29,530.33
362,2014-12-30,530.42
363,2014-12-31,526.4
364,2015-01-01,
365,2015-01-02,524.81
366,2015-01-03,
367,2015-01-04,
368,2015-01-05,513.87
369,2015-01-06,501.96
370,2015-01-07,501.1
371,2015-01-08,502.68
372,2015-01-09,496.17
373,2015-01-10,
374,2015-01-11,
375,2015-01-12,492.55
376,2015-01-13,496.18
377,2015-01-14,500.87
378,2015-01-15,501.79
379,2015-01-16,508.08
380,2015-01-17,
381,2015-01-18,
382,2015-01-19,
383,2015-01-20,506.9
384,2015-01-21,518.04
385,2015-01-22,534.39
386,2015-01-23,539.95
387,2015-01-24,
388,2015-01-25,
389,2015-01-26,535.21
390,2015-01-27,518.63
391,2015-01-28,510.0
392,2015-01-29,510.66
393,2015-01-30,534.52
394,2015-01-31,
395,2015-02-01,
396,2015-02-02,528.48
397,2015-02-03,529.24
398,2015-02-04,522.76
399,2015-02-05,527.58
400,2015-02-06,531.0
401,2015-02-07,
402,2015-02-08,
403,2015-02-09,527.83
404,2015-02-10,536.94
405,2015-02-11,535.97
406,2015-02-12,542.93
407,2015-02-13,549.01
408,2015-02-14,
409,2015-02-15,
410,2015-02-16,
411,2015-02-17,542.84
412,2015-02-18,539.7
413,2015-02-19,542.87
414,2015-02-20,538.95
415,2015-02-21,
416,2015-02-22,
417,2015-02-23,531.91
418,2015-02-24,536.09
419,2015-02-25,543.87
420,2015-02-26,555.48
421,2015-02-27,558.4
422,2015-02-28,
423,2015-03-01,
424,2015-03-02,571.34
425,2015-03-03,573.64
426,2015-03-04,573.37
427,2015-03-05,575.33
428,2015-03-06,567.68
429,2015-03-07,
430,2015-03-08,
431,2015-03-09,568.85
432,2015-03-10,555.01
433,2015-03-11,551.18
434,2015-03-12,555.51
435,2015-03-13,547.32
436,2015-03-14,
437,2015-03-15,
438,2015-03-16,554.51
439,2015-03-17,550.84
440,2015-03-18,559.5
441,2015-03-19,557.99
442,2015-03-20,560.36
443,2015-03-21,
444,2015-03-22,
445,2015-03-23,558.81
446,2015-03-24,570.19
447,2015-03-25,558.78
448,2015-03-26,555.17
449,2015-03-27,548.34
450,2015-03-28,
451,2015-03-29,
452,2015-03-30,552.03
453,2015-03-31,548.0
454,2015-04-01,542.56
455,2015-04-02,535.53
456,2015-04-03,
457,2015-04-04,
458,2015-04-05,
459,2015-04-06,536.76
460,2015-04-07,537.02
461,2015-04-08,541.61
462,2015-04-09,540.78
463,2015-04-10,540.01
464,2015-04-11,
465,2015-04-12,
466,2015-04-13,539.17
467,2015-04-14,530.39
468,2015-04-15,532.53
469,2015-04-16,533.8
470,2015-04-17,524.05
471,2015-04-18,
472,2015-04-19,
473,2015-04-20,535.38
474,2015-04-21,533.97
475,2015-04-22,539.36
476,2015-04-23,547.0
477,2015-04-24,565.06
478,2015-04-25,
479,2015-04-26,
480,2015-04-27,555.37
481,2015-04-28,553.68
482,2015-04-29,549.08
483,2015-04-30,537.34
484,2015-05-01,537.9
485,2015-05-02,
486,2015-05-03,
487,2015-05-04,540.78
488,2015-05-05,530.8
489,2015-05-06,524.22
490,2015-05-07,530.7
491,2015-05-08,538.22
492,2015-05-09,
493,2015-05-10,
494,2015-05-11,535.7
495,2015-05-12,529.04
496,2015-05-13,529.62
497,2015-05-14,538.4
498,2015-05-15,533.85
499,2015-05-16,
500,2015-05-17,
501,2015-05-18,532.3
502,2015-05-19,537.36
503,2015-05-20,539.27
504,2015-05-21,542.51
505,2015-05-22,540.11
506,2015-05-23,
507,2015-05-24,
508,2015-05-25,
509,2015-05-26,532.32
510,2015-05-27,539.79
511,2015-05-28,539.78
512,2015-05-29,532.11
513,2015-05-30,
514,2015-05-31,
515,2015-06-01,533.99
516,2015-06-02,539.18
517,2015-06-03,540.31
518,2015-06-04,536.7
519,2015-06-05,533.33
520,2015-06-06,
521,2015-06-07,
522,2015-06-08,526.83
